id,parco,nome,superficie,provvedimento,comuni,elencoufficiale,altreinformazioni,indirizzo,gestore,provincie,email
80,Vermiglio - Folgarida (IT3120165),Zona Speciale di Conservazione Vermiglio - Folgarida,"8723.00",null,"Carisolo, Commezzadura, Giustino, Mezzana, Ossana, Pellizzano, Pinzolo, Spiazzo, Vermiglio",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
81,Alta Val di Rabbi (IT3120001),Sito d'Interesse Comunitario Alta Val di Rabbi,"4434.00",null,Rabbi,null,null,,Parco Nazionale dello Stelvio,TN,null
82,Val di Fosse nel Parco Naturale Gruppo di Tessa (IT3110011),Zona Speciale di Conservazione e Zona di Protezione Speciale Val di Fosse nel Parco Naturale Gruppo di Tessa,"10087.00",null,"Naturno, Parcines, Senale-San Felice",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
83,Torbiera Ecchen (Folgaria),Biotopo Torbiera Ecchen,"8.25",DGP 11601 6/10/1989,Folgaria,EUAP0508,www.parks.it/biotopo.torbiera.ecchen,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
84,Monte Brione (IT3120075),Zona Speciale di Conservazione Monte Brione,66,null,"Arco, Riva del Garda",null,www.parks.it/IT3120075,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
85,Kleebachmoor,VR - Biotopo Kleebachmoor,"2.14",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
86,Lona Lases,Biotopo Lona-Lases,"19.7",DGP 8784 5/08/1988,Lona-Lases,EUAP0490,www.parks.it/biotopo.lona-lases,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
87,Kemater Weiher-Kleemoos,VR - Biotopo Kemater Weiher-Kleemoos,"2.87",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
88,Ambito fluviale di interesse ecologico del Torrente Avisio,Ambito fluviale di interesse ecologico del Torrente Avisio,,null,"Altavalle, Capriana",null,www.parks.it/afie.torrente.avisio,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
89,Entholzmoos,VR - Biotopo Entholzmoos,"6.02",DPGP 270 12/02/1992,Racines,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
90,Torbiera Weitrieser - Weitriesermoor,VR - Biotopo Torbiera Weitrieser - Weitriesermoor,"0.83",DPGP 142 10/10/1983,Valle di Casies,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
91,Laghetto di Vedes (IT3120048),Zona Speciale di Conservazione Laghetto di Vedes,8,null,Altavalle,null,www.parks.it/IT3120048,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
92,Lago d'Ampola,Riserva Naturale Provinciale Lago d'Ampola,25,DGP 9735 16/08/1990,Ledro,EUAP0482,www.parks.it/riserva.lago.ampola,"c/o Comune di Ledro (Comune capofila) - Via Vittoria, 5 - 38067 Pieve di Ledro (TN)",Rete di Riserve Alpi Ledrensi,TN,comune@comune.ledro.tn.it
93,Jaitermoor,VR - Biotopo Jaitermoor,"0.7",DPGP 5 31/03/1994,Cornedo all'Isarco,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
94,Eyrlmoor-Gunglwald,VR - Biotopo Eyrlmoor-Gunglwald,"2.02",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
95,Vecchio alveo del Rio di Casies - Altes Bett des Pidigbaches,VR - Biotopo Vecchio alveo del Rio di Casies - Altes Bett des Pidigbaches,"11.66",DPGP 365 9/07/1997,"Monguelfo, Tesimo",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
96,Kofl Aue,VR - Biotopo Kofl Aue,"3.64",DPGP 276 23/04/1992,Valle Aurina,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
97,Monti Lessini Nord (IT3120098),Zona di Protezione Speciale Monti Lessini Nord,792,null,Ala,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
98,Gola del Rio Rastenbach - Rastenbachklamm,VR - Biotopo Gola del Rio Rastenbach - Rastenbachklamm,"9.01",DPGP 397 9/08/1999,Caldaro Strada del Vino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
99,Montepiano - Palu' di Fornace (IT3120089),Zona Speciale di Conservazione Montepiano - Palu' di Fornace,33,null,Fornace,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
100,Rete di Riserve del fiume Sarca - alto corso,Rete di Riserve del fiume Sarca - alto corso,"2956.00",null,"Bleggio Superiore, Bocenago, Borgo Lares, Caderzone, Carisolo, Comano Terme, Fiavè, Giustino, Massimeno, Pinzolo, Porte di Rendena, San Lorenzo Dorsino, Sella Giudicarie, Spiazzo, Stenico, Strembo, Tione di Trento, Tre Ville",null,www.parks.it/rete.riserve.alto.fiume.sarca,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
101,Jaggl (IT3110041),Zona Speciale di Conservazione e Zona di Protezione Speciale Jaggl,702,null,Curon Venosta,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
102,Stagno Kreuzer - Kreuzer Weiher,VR - Biotopo Stagno Kreuzer - Kreuzer Weiher,"0.57",DPGP 311 3/03/1994,San Genesio Atesino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
103,Fraul (B),Riserva Locale Fraul (B),"1.88",null,Carano,null,www.parks.it/riserva.fraul.B,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
104,Langmoos presso la Malga Laab - Langmoos bei der Laabalm,VR - Biotopo Langmoos presso la Malga Laab - Langmoos bei der Laabalm,"1.42",DPGP 299 17/08/1993,Nova Ponente,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
105,Gruppo di Tessa / Texelgruppe,"Parco Naturale Gruppo di Tessa
Naturpark Texelgruppe","33430.00",DPGP 15 15/03/1976 - suc. mod.,"Lagundo, Moso in Passiria, Naturno, Parcines, Rifiano, San Martino in Passiria, Senales, Tirolo",EUAP0943,www.parks.it/parco.gruppo.tessa,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
106,Ausserpirchermoos,VR - Biotopo Ausserpirchermoos,"0.54",DPGP 311 3/03/1994,San Genesio Atesino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
107,Canneto di Levico (IT3120039),Zona Speciale di Conservazione Canneto di Levico,"9.74",null,Levico Terme,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
108,Alta Val del Monte (IT3120003),Sito d'Interesse Comunitario Alta Val del Monte,"4464.00",null,"Peio, Pellizzano",null,null,,Parco Nazionale dello Stelvio,TN,null
109,Marocche di Dro,Riserva Naturale Marocche di Dro,235,DGP 16439 21/12/1989,Dro,EUAP0492,www.parks.it/biotopo.marocche.dro,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
110,Biotopo Vegetazione Steppica Tartscher Leiten (IT3110001),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Vegetazione Steppica Tartscher Leiten,38,null,Malles Venosta / Mals,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
111,Biotopo Ontaneto di Sluderno - Schludernser Au,Biotopo Ontaneto di Sluderno - Schludernser Au,"124.5",DPGP 405 28/02/2000,Sluderno / Schluderns,EUAP0511,www.parks.it/riserva.ontaneto.sluderno,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
112,Hirschenlacke,VR - Biotopo Hirschenlacke,"1.05",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
113,Palù Longa (IT3120020),Zona Speciale di Conservazione Palù Longa,"5.93",null,Carano,null,www.parks.it/IT3120020,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
114,Lago (Daiano),Riserva Locale Lago (Daiano),"0.41",null,Daiano,null,www.parks.it/riserva.lago.daiano,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
115,Puez-Odle / Puez-Gaisler,Parco Naturale Puez-Odle - Puez-Gaisler,"10196.00",DPGP 29/V/LS 31/10/1977 - suc. mod.,"Badia, Corvara in Badia, Funes, Ortisei, San Martino in Badia, Santa Cristina Valgardena, Selva di Val Gardena",EUAP0939,www.parks.it/parco.puez.odle,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
116,Vegetazione paludosa Kleine Etsch - Auvegetation Kleine Etsch,VR - Biotopo Vegetazione paludosa Kleine Etsch - Auvegetation Kleine Etsch,"1.54",DDPGP 336 2/02/1995,"Castelbello-Ciardes, Naturno",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
117,Rete di Riserve Alpi Ledrensi,Rete di Riserve Alpi Ledrensi,"1000.00",null,"Bondone, Ledro, Riva del Garda, Storo, Tenno",null,www.parks.it/rete.riserve.alpi.ledrensi,"c/o Comune di Ledro (Comune capofila) - Via Vittoria, 5 - 38067 Pieve di Ledro (TN)",Rete di Riserve Alpi Ledrensi,TN,comune@comune.ledro.tn.it
118,Seewandmoos,VR - Biotopo Seewandmoos,"0.45",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
119,Campobrun,Riserva naturale Campobrun,429,DPGR 2096 23/07/1971,Ala,EUAP0404,www.parks.it/riserva.campobrun,"V.le dell'Università, 14 - Agripolis - 35020 Legnaro (PD)",Veneto Agricoltura,TN,educazione@venetoagricoltura.org
120,Masi Carretta (Pieve Tesino),Biotopo Masi Carretta,3,DGP 11600 6/10/1989,Pieve Tesino,EUAP0493,www.parks.it/biotopo.masi.carretta,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
121,Scanuppia,Riserva Naturale Scanuppia,"537.1",DPGR 2095 2/03/1992,Besenello,EUAP0403,www.parks.it/riserva.scanuppia,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
122,Palù di Boniprati,Biotopo Palù di Boniprati,"10.5",DGP 59 10/01/1994,"Castel Condino, Pieve di Bono-Prezzo",EUAP0495,www.parks.it/biotopo.palu.boniprati,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
123,Marocche di Dro (IT3120074),Zona Speciale di Conservazione Marocche di Dro,235,null,Dro,null,www.parks.it/IT3120074,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
124,Monte Barco,Biotopo Monte Barco,90,DGP 9734 16/08/1990,"Albiano, Trento",EUAP0491,www.parks.it/biotopo.monte.barco,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
125,Palu' di Borghetto (IT3120077),Zona Speciale di Conservazione e Zona di Protezione Speciale Palu' di Borghetto,"7.39",null,Avio,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
126,Canneti di San Cristoforo,Biotopo Canneti di San Cristoforo,"9.4",DGP 10345 9/09/1988,Pergine Valsugana,EUAP0471,www.parks.it/biotopo.canneti.san.cristoforo,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
127,Acqua della Rossa,Riserva Locale Acqua della Rossa,"3.26",null,Capriana,null,www.parks.it/riserva.acqua.rossa,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
128,Morgenrastmoos,VR - Biotopo Morgenrastmoos,"0.66",DPGP 362/28/1 15/05/1997,San Candido,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
129,Piccole Dolomiti (IT3120099),Zona di Protezione Speciale Piccole Dolomiti,"1229.00",null,"Ala, Vallarsa",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
130,Panchià,Riserva Locale Panchià,"10.99",null,"Panchià, Ziano di Fiemme",null,www.parks.it/riserva.panchia,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
131,Lago d'Idro (IT3120065),Zona Speciale di Conservazione e Zona di Protezione Speciale Lago d'Idro,14,null,Bondone,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
132,Torbiera Unterboden - Unterboden Moor,VR - Biotopo Torbiera Unterboden - Unterboden Moor,"3.99",DPGP 212 28/09/1988,Perca,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
133,Wasserbuehel,VR - Biotopo Wasserbuehel,"10.94",DPGP 149 26/01/1984,Laion,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
134,Corna Piana,Riserva naturale provinciale Corna Piana,"52.1",DPGR 1466 28/04/1972,Brentonico,null,www.parks.it/riserva.corna.piana.brentonico,"c/o Comune di Brentonico - Via Fabio Filzi, 35 - 38060 Brentonico (TN)",Parco Naturale Locale del Monte Baldo,TN,parcodelbaldo@comune.brentonico.tn.it
135,Zehnermoos,VR - Biotopo Zehnermoos,"1.79",DPGP 311 3/03/1994,San Genesio Atesino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
136,Lagabrun,Biotopo Lagabrun,"4.6",DGP 6209 20/05/1994,Cembra Lisignago,EUAP0479,www.parks.it/biotopo.lagabrun,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
137,Torbiera della Malga Pezzole - Moore bei der Pezzole Alm,VR - Biotopo Torbiera della Malga Pezzole - Moore bei der Pezzole Alm,"5.88",DPGP 85 16/12/1980,Trodena,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
138,Biotopo Ontaneto della Rienza - Dobbiaco (IT3110022),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Ontaneto della Rienza - Dobbiaco,17,null,Dobbiaco,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
139,Val Cadino (IT3120107),Zona Speciale di Conservazione Val Cadino,"1110.00",null,Valfloriana,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
140,Stagno Strommer - Strommer Weiher,VR - Biotopo Stagno Strommer - Strommer Weiher,"0.11",DPGP 311 3/03/1994,Meltina,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
141,Val Jumela (IT3120179),Sito d'Interesse Comunitario Val Jumela,36,null,Pozza di Fassa,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
142,Schustermoos,VR - Biotopo Schustermoos,"2.15",DPGP 5 31/03/1994,Cornedo all'Isarco,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
143,Ragglmoos,VR - Biotopo Ragglmoos,"1.11",DPGP 313 17/03/1994,Chienes,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
144,Lago di Tovel,VR - Zona Umida Lago di Tovel,,null,Ville d'Anaunia,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
145,Pozza del Prete,Riserva Locale Pozza del Prete,"0.71",null,Comano Terme,null,www.parks.it/riserva.pozza.prete,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
146,Monte Sadron (IT3120176),Zona Speciale di Conservazione Monte Sadron,"2181.00",null,"Croviana, Dimaro Folgarida, Malè",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
147,Lagorai Orientale - Cima Bocche (IT3120168),Zona Speciale di Conservazione Lagorai Orientale - Cima Bocche,"12280.00",null,"Canal San Bovo, Imer, Mezzano, Moena, Predazzo, Primiero San Martino di Castrozza",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
148,Monte Baldo - Cima Valdritta (IT3120104),Zona Speciale di Conservazione Monte Baldo - Cima Valdritta,456,null,Avio,null,www.parks.it/IT3120104,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
149,Redebus (IT3120036),Zona Speciale di Conservazione Redebus,10,null,Bedollo,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
150,Iscla,Riserva Locale Iscla,"6.88",null,Porte di Rendena,null,www.parks.it/riserva.iscla,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
151,Biotopo Sanderau,Biotopo Sanderau,"4.2",DPGP 162 1/02/1985,Val di Vizze,EUAP0427,www.parks.it/biotopo.sanderau,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
152,Albere' di Tenna (IT3120091),Zona Speciale di Conservazione Albere' di Tenna,"6.72",null,Pergine Valsugana,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
153,Palude,Riserva Locale Palude,"1.31",null,Varena,null,www.parks.it/riserva.palude,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
154,Biotopo Ontaneto di Sluderno (IT3110002),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Ontaneto di Sluderno,125,null,Sluderno / Schluderns,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,BZ,reteareeprotette@provincia.tn.it
155,Seabl Lack,VR - Biotopo Seabl Lack,"0.04",DPGP 311 3/03/1994,Meltina,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
156,Fiave' (IT3120068),Zona Speciale di Conservazione Fiavè,"137.25",null,Fiavè,null,www.parks.it/IT3120068,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
157,Stagno Steifler - Steifler Weiher,VR - Biotopo Stagno Steifler - Steifler Weiher,"0.2",DPGP 311 3/03/1994,San Genesio Atesino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
158,Masi Carretta (IT3120031),Zona Speciale di Conservazione Masi Carretta,"3.02",null,Pieve Tesino,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
159,Biotopo Gisser Auen (IT3110014),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Gisser Auen,14,null,Sarentino,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
160,Palù del Moro,Riserva Locale Palù del Moro,"0.53",null,Altavalle,null,www.parks.it/riserva.palu.moro,"c/o Comune di Altavalle - piazza Chiesa, 2 - 38092 Altavalle (TN)",Rete di Riserve Alta Valle di Cembra - Avisio,TN,protocollo@comune.altavalle.tn.it
